0 1 2 3 4 5 6 7
3 91 227 329 332 339 347 446
2 92 228 330 333 338 348 447
6 80 190 195 202 211 214 217
5 78 188 196 200 209 212 215
7 79 189 194 201 210 213 216
3 83 191 199 205 208 220 223
4 81 192 197 203 206 218 222
2 82 193 198 204 207 219 221
8 71 78 79 80 81 82 83
8 133 260 261 262 263 264 265
8 132 230 231 232 233 234 235
8 136 227 243 247 253 257 268
8 135 228 244 245 252 259 267
8 134 229 242 246 251 258 266
8 138 224 238 241 248 256 270
8 139 226 236 239 250 255 271
8 137 225 237 240 249 254 269
11 74 476 483 489 493 494 499
9 72 478 482 488 492 496 498
10 73 477 484 490 491 495 497
14 77 480 487 500 505 507 510
12 75 479 486 502 503 506 511
13 76 481 485 501 504 508 509
14 105 168 208 276 280 335 422
12 106 169 207 275 279 337 424
13 107 167 206 277 278 336 423
10 104 166 204 284 289 328 429
11 103 164 203 286 287 326 430
9 102 165 205 285 288 327 428
12 99 171 202 274 292 330 425
13 100 170 200 272 291 331 427
14 101 172 201 273 290 329 426
11 98 173 209 283 293 334 432
10 96 174 211 281 295 333 433
9 97 175 210 282 294 332 431
10 119 176 197 309 384 396 444
11 118 177 199 310 383 395 445
9 117 178 198 308 385 397 443
13 116 180 195 313 382 389 439
14 114 179 196 311 381 391 437
12 115 181 194 312 380 390 438
13 93 187 193 316 377 392 435
12 94 186 191 315 378 394 434
14 95 185 192 314 379 393 436
10 90 182 188 319 374 387 441
11 91 184 189 318 375 386 442
9 92 183 190 317 376 388 440
11 123 154 322 403 404 416 420
9 124 152 321 402 405 418 421
10 125 153 320 401 406 417 419
14 121 157 323 399 407 412 415
13 122 155 325 398 408 410 414
12 120 156 324 400 409 411 413
14 130 162 217 307 338 351 367
13 129 163 216 306 339 350 366
12 131 161 215 305 340 352 365
9 126 158 218 303 342 353 372
11 127 160 219 302 343 355 373
10 128 159 220 304 341 354 371
14 113 151 221 298 346 357 360
13 112 149 223 296 344 356 361
12 111 150 222 297 345 358 359
9 109 146 212 301 349 362 369
11 110 147 214 299 348 364 370
10 108 148 213 300 347 363 368
14 89 141 448 459 466 468 474
12 88 142 446 460 464 467 473
13 87 140 447 458 465 469 475
10 84 144 450 453 455 462 472
9 85 145 451 454 457 463 471
11 86 143 449 452 456 461 470
21 71 84 85 86 87 88 89
22 71 102 103 104 114 115 116
15 71 90 93 99 105 123 126
17 71 91 95 100 106 124 128
16 71 92 94 101 107 125 127
19 71 97 110 112 119 121 131
20 71 98 108 111 117 122 130
18 71 96 109 113 118 120 129
21 132 482 483 484 485 486 487
21 133 287 288 289 311 312 313
22 133 290 291 292 317 318 319
22 132 293 294 295 314 315 316
20 151 227 286 304 305 317 481
18 149 229 284 303 307 318 479
19 150 228 285 302 306 319 480
21 162 224 283 297 300 308 325
21 163 225 281 298 301 310 324
21 161 226 282 296 299 309 323
18 155 197 225 293 305 478 480
20 157 199 224 294 306 477 479
19 156 198 226 295 307 476 481
15 152 194 227 278 284 302 314
17 153 195 228 280 286 303 315
16 154 196 229 279 285 304 316
15 146 195 197 224 279 290 476
17 148 196 199 226 278 292 478
16 147 194 198 225 280 291 477
21 160 190 191 229 273 277 320
21 158 188 193 227 274 276 322
21 159 189 192 228 272 275 321
18 144 259 391 394 397 420 485
19 145 257 389 393 395 419 486
20 143 258 390 392 396 421 487
22 144 270 277 346 348 418 506
22 145 269 275 344 347 416 507
22 143 271 276 345 349 417 508
15 140 263 281 365 386 443 500
17 141 264 283 366 388 444 502
16 142 265 282 367 387 445 501
15 141 251 299 368 413 428 509
17 142 253 301 370 414 429 510
16 140 252 300 369 415 430 511
15 143 254 311 371 410 431 503
16 144 255 313 372 411 432 505
17 145 256 312 373 412 433 504
15 144 233 272 359 383 407 440
16 145 234 274 360 384 408 442
17 143 235 273 361 385 409 441
19 141 230 322 336 341 362 438
18 142 232 321 335 343 363 439
20 140 231 320 337 342 364 437
18 141 248 287 330 332 406 427
20 142 250 288 331 333 404 426
19 140 249 289 329 334 405 425
15 142 209 221 245 356 401 482
16 141 211 223 247 358 402 483
17 140 210 222 246 357 403 484
22 141 215 218 267 310 398 495
22 142 216 220 266 308 399 494
22 140 217 219 268 309 400 496
19 144 203 208 242 325 424 498
20 145 204 206 244 324 422 499
18 143 205 207 243 323 423 497
20 144 202 212 261 296 355 436
18 145 201 214 262 297 354 435
19 143 200 213 260 298 353 434
15 145 191 236 326 338 350 491
17 144 193 237 327 340 351 493
16 143 192 238 328 339 352 492
20 141 189 240 374 378 382 488
19 142 190 241 375 377 381 490
18 140 188 239 376 379 380 489
25 77 233 308 328 330 389 403
23 75 235 309 326 331 391 402
24 76 234 310 327 329 390 401
26 72 231 276 354 366 375 411
27 74 232 277 353 365 374 412
28 73 230 275 355 367 376 410
70 77 249 279 296 363 388 470
68 76 250 280 297 362 386 472
69 75 248 278 298 364 387 471
67 73 245 273 305 372 395 475
65 72 247 272 307 373 396 473
66 74 246 274 306 371 397 474
64 77 219 259 288 350 358 441
62 75 218 258 289 351 356 442
63 76 220 257 287 352 357 440
59 74 201 241 313 337 349 444
60 72 202 239 311 336 347 445
61 73 200 240 312 335 348 443
58 72 207 266 281 286 408 468
56 74 208 267 282 284 409 469
57 73 206 268 283 285 407 467
53 75 210 269 304 325 343 466
54 77 209 271 303 324 341 465
55 76 211 270 302 323 342 464
52 74 221 261 300 315 427 463
50 72 222 260 299 316 426 462
51 73 223 262 301 314 425 461
49 76 204 254 292 321 432 459
47 75 205 255 290 322 433 458
48 77 203 256 291 320 431 460
44 73 216 226 394 421 430 448
45 72 215 224 393 420 429 447
46 74 217 225 392 419 428 446
41 76 213 229 370 400 436 451
42 77 214 227 369 398 434 450
43 75 212 228 368 399 435 449
40 76 197 252 378 381 385 416
38 77 199 251 377 380 384 418
39 75 198 253 379 382 383 417
37 73 195 242 332 345 360 404
35 74 196 243 333 344 359 405
36 72 194 244 334 346 361 406
34 72 191 237 319 415 439 452
32 74 192 236 317 414 438 453
33 73 193 238 318 413 437 454
29 77 189 265 295 340 423 457
30 75 190 263 293 339 422 455
31 76 188 264 294 338 424 456
23 126 133 360 363 378 447 493
24 128 133 359 364 377 448 492
25 127 133 361 362 379 446 491
57 105 132 352 373 382 405 450
56 106 132 350 372 381 406 449
58 107 132 351 371 380 404 451
26 131 133 206 211 397 449 510
28 129 133 208 209 396 451 511
27 130 133 207 210 395 450 509
53 118 132 200 204 388 415 446
54 119 132 202 205 386 414 448
55 117 132 201 203 387 413 447
40 112 185 263 330 349 373 477
39 111 187 265 329 348 371 478
38 113 186 264 331 347 372 476
32 104 184 251 342 361 367 486
33 102 182 252 343 359 366 487
34 103 183 253 341 360 365 485
64 93 179 248 317 411 456 484
62 95 181 250 319 410 457 483
63 94 180 249 318 412 455 482
56 93 177 266 312 402 472 480
57 94 176 267 311 403 471 481
58 95 178 268 313 401 470 479
53 112 181 267 320 360 456 478
55 113 180 266 322 359 457 477
54 111 179 268 321 361 455 476
51 123 174 239 291 327 474 486
52 124 173 240 290 328 473 485
50 125 175 241 292 326 475 487
49 108 170 263 303 346 467 483
47 109 171 265 302 344 468 484
48 110 172 264 304 345 469 482
44 117 174 264 277 442 473 480
45 118 175 263 275 441 474 481
46 119 173 265 276 440 475 479
58 90 165 267 297 339 355 510
57 91 166 266 296 338 353 511
56 92 164 268 298 340 354 509
53 101 169 270 301 389 396 489
55 99 167 271 300 391 395 488
54 100 168 269 299 390 397 490
41 119 180 248 275 369 426 493
42 118 179 250 277 368 425 492
43 117 181 249 276 370 427 491
39 120 168 245 294 328 336 493
40 122 169 246 295 326 335 492
38 121 167 247 293 327 337 491
38 114 175 240 302 354 414 511
40 116 173 239 304 353 413 510
39 115 174 241 303 355 415 509
35 110 165 258 314 363 411 504
36 109 166 257 315 364 410 505
37 108 164 259 316 362 412 503
36 97 177 262 279 351 374 508
35 98 176 260 280 350 376 506
37 96 178 261 278 352 375 507
29 106 172 238 309 362 439 499
31 105 170 237 308 364 438 497
30 107 171 236 310 363 437 498
70 88 179 260 284 327 382 430
68 89 180 261 285 326 380 429
69 87 181 262 286 328 381 428
65 93 175 234 283 333 379 434
67 95 174 233 282 334 378 435
66 94 173 235 281 332 377 436
53 85 171 268 280 374 377 420
55 84 170 267 279 375 379 421
54 86 172 266 278 376 378 419
41 88 187 243 319 372 403 422
42 87 185 244 318 371 402 424
43 89 186 242 317 373 401 423
39 99 184 232 285 357 396 398
40 100 183 231 284 358 395 399
38 101 182 230 286 356 397 400
29 84 168 247 292 353 404 435
30 86 169 245 291 354 405 436
31 85 167 246 290 355 406 434
59 111 177 230 291 323 429 471
60 112 178 232 290 324 430 472
61 113 176 231 292 325 428 470
59 107 184 260 305 308 433 459
60 105 183 262 306 309 432 460
61 106 182 261 307 310 431 458
53 124 186 271 287 306 367 462
54 123 185 270 289 305 366 463
55 125 187 269 288 307 365 461
44 121 166 235 297 317 445 465
45 122 165 233 298 318 444 464
46 120 164 234 296 319 443 466
68 120 170 227 367 444 449 498
70 122 172 228 365 445 451 497
69 121 171 229 366 443 450 499
62 102 169 227 412 432 447 490
64 103 168 229 410 433 446 488
63 104 167 228 411 431 448 489
50 123 178 228 384 437 446 508
52 125 177 227 385 439 448 506
51 124 176 229 383 438 447 507
33 99 166 225 418 426 449 504
32 100 164 224 417 425 451 505
34 101 165 226 416 427 450 503
67 110 182 224 357 402 423 446
65 108 183 225 356 403 424 448
66 109 184 226 358 401 422 447
49 114 187 224 376 409 442 450
47 116 186 225 375 407 441 451
48 115 185 226 374 408 440 449
49 123 186 201 253 296 492 495
47 125 185 200 251 297 493 496
48 124 187 202 252 298 491 494
52 105 164 211 258 275 465 478
50 106 165 209 257 277 466 477
51 107 166 210 259 276 464 476
63 112 168 207 236 283 387 418
62 111 167 208 238 281 388 416
64 113 169 206 237 282 386 417
51 120 172 218 254 300 373 377
52 122 171 220 256 299 372 379
50 121 170 219 255 301 371 378
44 86 182 208 253 316 330 342
45 84 183 206 251 315 329 343
46 85 184 207 252 314 331 341
44 100 175 217 244 322 352 363
45 99 173 216 243 320 351 362
46 101 174 215 242 321 350 364
41 96 165 203 240 274 361 399
42 98 166 205 241 272 360 400
43 97 164 204 239 273 359 398
32 88 177 212 254 295 360 366
34 87 178 213 256 293 359 367
33 89 176 214 255 294 361 365
32 90 180 210 247 324 348 381
33 92 181 209 246 323 347 382
34 91 179 211 245 325 349 380
49 109 167 217 233 304 312 452
48 108 168 215 235 302 313 454
47 110 169 216 234 303 311 453
59 113 173 223 228 390 450 496
60 111 175 221 229 389 449 495
61 112 174 222 227 391 451 494
29 97 179 220 225 355 447 502
30 96 181 219 224 353 448 501
31 98 180 218 226 354 446 500
44 116 176 207 212 256 329 483
45 115 178 208 214 254 331 484
46 114 177 206 213 255 330 482
37 104 171 201 209 237 402 481
36 102 172 200 211 236 403 479
35 103 170 202 210 238 401 480
35 123 181 206 220 235 307 369
37 125 179 207 218 233 306 370
36 124 180 208 219 234 305 368
59 110 183 193 250 406 507 511
61 108 184 191 248 405 508 510
60 109 182 192 249 404 506 509
29 94 178 188 258 346 395 414
30 93 176 189 257 345 397 415
31 95 177 190 259 344 396 413
64 117 185 195 243 310 462 511
62 119 186 196 244 308 461 509
63 118 187 194 242 309 463 510
41 92 170 199 232 289 345 468
42 90 172 198 231 287 344 467
43 91 171 197 230 288 346 469
41 91 167 198 215 262 453 487
43 90 169 199 217 260 454 485
42 92 168 197 216 261 452 486
70 96 185 191 210 230 392 432
68 97 187 192 209 231 394 433
69 98 186 193 211 232 393 431
65 86 165 195 204 265 391 438
67 85 166 196 203 263 390 439
66 84 164 194 205 264 389 437
58 88 175 197 223 271 364 412
57 87 174 199 221 269 362 411
56 89 173 198 222 270 363 410
56 121 184 188 195 269 460 492
58 120 183 189 196 270 458 491
57 122 182 190 194 271 459 493
53 114 158 261 334 358 497 504
55 115 159 260 332 356 499 505
54 116 160 262 333 357 498 503
69 126 161 259 329 414 452 477
70 127 162 257 331 413 453 478
68 128 163 258 330 415 454 476
70 99 157 242 354 385 458 483
68 101 155 244 353 383 460 484
69 100 156 243 355 384 459 482
65 113 152 238 370 374 465 486
67 111 153 236 369 375 466 485
66 112 154 237 368 376 464 487
44 127 159 237 381 398 463 479
46 126 160 238 380 399 462 481
45 128 158 236 382 400 461 480
51 131 159 243 326 346 388 501
50 130 158 242 328 344 386 502
52 129 160 244 327 345 387 500
37 90 155 255 388 390 393 494
35 91 157 254 387 389 394 496
36 92 156 256 386 391 392 495
62 84 156 240 349 350 357 445
64 85 157 239 348 352 356 444
63 86 155 241 347 351 358 443
56 102 162 263 336 370 384 394
57 103 163 265 337 368 385 393
58 104 161 264 335 369 383 392
48 89 146 237 333 339 395 400
49 87 147 236 332 340 396 399
47 88 148 238 334 338 397 398
39 131 146 266 427 432 437 441
40 129 148 268 426 431 438 442
38 130 147 267 425 433 439 440
36 126 150 269 423 430 436 444
37 128 149 270 422 428 434 445
35 127 151 271 424 429 435 443
66 90 151 256 321 336 461 511
67 92 149 254 322 337 462 510
65 91 150 255 320 335 463 509
62 93 147 261 273 341 464 496
63 95 146 260 274 343 465 495
64 94 148 262 272 342 466 494
59 102 148 242 324 379 452 501
61 103 146 244 323 377 453 502
60 104 147 243 325 378 454 500
58 98 152 269 273 330 453 501
56 96 154 271 272 329 454 502
57 97 153 270 274 331 452 500
44 120 147 246 288 393 455 508
46 122 146 247 289 394 456 507
45 121 148 245 287 392 457 506
41 130 163 239 315 402 470 490
43 129 161 241 314 403 472 488
42 131 162 240 316 401 471 489
41 115 151 259 283 419 458 492
43 114 149 257 281 421 460 493
42 116 150 258 282 420 459 491
34 119 152 246 310 435 467 505
32 117 154 245 309 434 468 504
33 118 153 247 308 436 469 503
29 129 162 255 286 405 464 495
30 130 161 254 285 406 465 494
31 131 163 256 284 404 466 496
29 98 149 252 312 417 474 498
30 97 151 251 313 416 473 497
31 96 150 253 311 418 475 499
59 128 160 249 294 391 408 467
61 126 159 250 293 389 409 468
60 127 158 248 295 390 407 469
50 116 152 230 300 340 422 456
51 114 153 232 299 339 424 457
52 115 154 231 301 338 423 455
47 105 156 252 277 332 429 470
49 106 155 251 276 333 430 471
48 107 157 253 275 334 428 472
32 131 160 233 280 347 421 458
34 129 158 235 279 348 419 459
33 130 159 234 278 349 420 460
48 126 162 204 223 246 375 506
47 128 161 203 221 247 376 508
49 127 163 205 222 245 374 507
40 93 153 205 215 249 367 499
39 94 152 203 217 250 366 497
38 95 154 204 216 248 365 498
59 87 154 202 218 257 335 441
60 89 152 200 220 259 337 442
61 88 153 201 219 258 336 440
51 84 150 209 217 248 385 408
50 85 151 211 216 249 383 409
52 86 149 210 215 250 384 407
68 123 148 190 207 240 469 505
69 125 146 189 208 239 467 504
70 124 147 188 206 241 468 503
34 99 149 192 219 264 471 490
33 100 151 191 218 265 472 489
32 101 150 193 220 263 470 488
66 130 160 197 200 253 411 457
67 129 159 198 202 251 412 456
65 131 158 199 201 252 410 455
63 126 163 196 214 230 417 473
62 127 161 195 213 231 418 474
64 128 162 194 212 232 416 475
53 108 156 192 214 266 327 475
55 110 155 191 212 268 328 474
54 109 157 193 213 267 326 473
29 104 157 190 222 234 427 461
31 102 155 189 221 235 425 462
30 103 156 188 223 233 426 463
24 98 136 279 336 399 463 484
23 96 134 280 337 398 461 482
25 97 135 278 335 400 462 483
26 103 139 321 351 434 469 477
27 104 138 322 350 436 467 478
28 102 137 320 352 435 468 476
35 118 135 290 340 342 408 490
37 119 136 291 338 343 409 488
36 117 134 292 339 341 407 489
26 109 138 273 382 384 424 494
27 110 137 272 380 385 422 495
28 108 139 274 381 383 423 496
25 85 138 307 345 368 414 432
24 86 137 306 346 369 413 433
23 84 139 305 344 370 415 431
26 89 136 303 387 392 416 425
27 87 134 302 388 394 417 426
28 88 135 304 386 393 418 427
25 90 137 315 323 442 475 498
24 92 139 314 325 441 473 499
23 91 138 316 324 440 474 497
26 125 135 293 296 357 438 454
28 123 134 294 298 358 439 453
27 124 136 295 297 356 437 452
67 105 136 213 288 408 489 502
66 106 135 214 289 407 488 501
65 107 134 212 287 409 490 500
26 95 134 205 300 348 460 481
27 93 135 203 301 347 459 479
28 94 136 204 299 349 458 480
70 119 139 221 312 339 342 420
68 117 138 223 311 340 343 419
69 118 137 222 313 338 341 421
24 99 138 200 282 286 455 507
25 100 139 201 281 285 456 506
23 101 137 202 283 284 457 508
38 105 139 212 222 318 419 501
40 107 138 214 221 319 421 502
39 106 137 213 223 317 420 500
26 122 137 196 219 332 472 486
27 120 139 195 220 334 471 487
28 121 138 194 218 333 470 485
25 113 136 190 215 371 430 504
23 111 135 188 216 373 428 505
24 112 134 189 217 372 429 503
24 114 135 191 198 404 444 465
25 115 134 193 197 405 445 466
23 116 136 192 199 406 443 464
68 79 167 299 360 405 441 479
70 80 168 301 359 406 442 481
69 78 169 300 361 404 440 480
59 78 164 307 339 378 418 484
60 79 165 305 338 377 417 483
61 80 166 306 340 379 416 482
52 81 184 311 388 400 435 477
51 82 182 313 386 399 434 478
50 83 183 312 387 398 436 476
29 82 185 285 347 364 409 485
30 81 186 284 348 362 408 487
31 83 187 286 349 363 407 486
67 83 176 302 324 351 427 492
65 81 178 304 323 350 425 493
66 82 177 303 325 352 426 491
62 82 171 272 294 419 430 510
63 81 170 273 295 420 428 511
64 83 172 274 293 421 429 509
49 78 180 314 320 397 445 502
48 79 179 315 322 396 443 501
47 80 181 316 321 395 444 500
33 79 174 279 287 414 422 496
34 78 175 280 289 413 423 494
32 80 173 278 288 415 424 495
57 78 159 290 358 370 392 498
56 79 160 292 356 369 393 497
58 80 158 291 357 368 394 499
53 83 161 318 333 336 385 505
54 81 162 319 332 337 383 504
55 82 163 317 334 335 384 503
44 81 153 298 344 380 432 488
45 82 152 296 345 381 433 489
46 83 154 297 346 382 431 490
41 80 155 282 341 373 437 506
42 78 157 281 343 372 438 508
43 79 156 283 342 371 439 507
23 82 146 277 354 367 390 403
24 81 148 276 355 365 389 402
25 83 147 275 353 366 391 401
26 79 150 310 328 331 376 412
28 80 149 308 326 329 374 411
27 78 151 309 327 330 375 410
40 79 144 446 461 465 468 471
39 78 145 448 462 464 469 470
38 80 143 447 463 466 467 472
35 82 141 451 452 455 460 475
36 81 142 450 454 456 458 474
37 83 140 449 453 457 459 473
