0 1 2 3 4 5 6
17 104 208 244 269 274 333
17 105 217 233 273 289 336
18 105 224 245 260 299 335
19 104 223 240 272 288 334
15 103 207 210 249 256 258
16 102 213 226 267 287 294
17 102 219 246 254 264 280
17 103 229 236 278 290 293
15 104 163 242 247 285 331
16 105 164 214 232 263 329
18 101 165 206 266 283 284
19 101 162 205 268 275 301
18 102 150 251 257 271 322
19 103 151 265 300 302 325
15 105 148 152 161 212 253
16 104 147 153 160 218 262
18 103 146 154 157 230 292
19 102 149 155 158 238 303
17 101 143 156 159 295 330
17 122 176 222 248 319 320
15 124 170 221 241 319 326
13 118 171 218 224 238 319
19 126 172 204 211 234 326
13 117 168 205 228 244 322
14 114 171 203 207 208 226
19 121 169 203 222 227 231
13 119 169 206 214 229 247
14 115 147 172 236 245 321
15 123 144 168 231 235 239
14 120 144 149 186 318 324
13 113 145 146 178 321 323
14 116 143 150 170 237 243
17 125 144 145 184 209 211
16 109 174 234 239 320 327
14 108 175 212 223 230 320
14 112 173 206 216 217 325
18 111 181 203 209 221 327
14 110 177 205 219 232 242
18 110 180 204 215 235 248
13 108 183 204 210 213 233
13 111 148 182 240 246 318
16 112 145 179 215 227 241
13 109 143 151 185 220 225
36 60 199 217 220 256 303
37 59 198 226 229 275 299
38 60 190 218 237 264 298
39 59 195 209 212 262 265
20 57 193 211 225 232 311
21 58 187 205 260 278 287
52 56 178 243 253 266 274
53 58 184 238 263 282 292
54 56 181 223 279 289 294
50 60 175 214 235 301 310
51 59 177 233 239 251 315
22 58 186 204 254 285 306
23 57 170 252 280 291 300
48 56 171 234 281 293 304
49 57 168 230 250 295 308
24 56 166 169 219 259 297
25 57 153 200 210 222 271
26 58 152 196 206 269 276
45 57 162 173 224 267 290
46 60 161 174 236 257 288
47 56 160 185 248 249 268
42 60 154 176 213 242 313
43 56 155 182 241 245 314
44 58 159 179 207 240 309
27 59 163 172 246 284 307
28 60 156 167 192 203 228
29 59 158 164 180 244 277
40 59 146 201 216 255 272
41 58 150 202 231 270 273
30 57 149 189 215 247 312
31 57 148 165 191 208 296
32 58 147 151 194 221 305
33 60 145 188 283 286 302
34 59 143 197 227 258 317
35 56 144 157 183 261 316
46 92 101 312 314 339 341
39 96 102 305 308 316 342
54 86 103 306 307 310 340
25 73 101 306 313 315 316
33 95 105 304 305 307 312
53 68 104 308 310 314 317
29 93 103 166 311 341 342
47 91 102 167 309 339 340
23 88 105 166 309 313 317
41 75 104 167 304 311 315
21 95 130 197 325 327 333
53 81 138 195 322 326 336
23 84 135 198 256 266 320
35 72 133 192 251 269 321
44 75 140 189 294 301 319
20 79 134 196 265 289 318
35 88 129 191 229 326 338
41 79 136 199 219 327 328
31 71 130 202 214 281 324
43 78 142 195 242 296 323
28 89 132 194 230 246 329
29 77 131 191 218 231 330
34 70 128 200 236 238 331
42 91 136 187 212 215 330
24 92 141 202 209 213 250
39 69 130 188 222 245 276
39 77 132 189 217 234 282
42 86 135 200 221 244 259
46 98 142 201 207 211 297
49 86 137 195 240 248 286
38 71 132 201 205 241 340
43 83 141 200 206 239 342
37 71 131 199 204 243 308
43 99 129 187 203 225 307
32 84 140 180 318 331 340
28 93 135 179 268 324 336
50 74 127 186 227 311 322
25 85 139 182 235 269 328
30 89 128 178 207 262 335
30 96 134 185 231 283 332
24 82 139 186 218 284 300
25 78 134 179 229 253 303
27 84 136 185 208 257 282
28 100 137 177 238 252 274
32 80 138 183 232 284 303
37 91 128 181 232 269 302
41 72 137 175 241 284 290
42 90 127 182 216 263 291
44 73 138 174 216 250 274
46 82 134 177 221 261 267
47 67 129 174 224 265 285
49 91 134 184 245 258 301
54 89 131 184 242 255 271
20 95 139 176 243 272 282
48 98 133 173 231 246 313
51 79 128 173 228 248 305
52 74 133 184 220 226 312
23 85 141 172 286 292 330
51 68 142 170 278 283 329
38 68 127 172 249 267 273
21 67 140 172 220 296 316
50 70 136 170 240 299 316
32 100 130 166 168 226 288
24 68 133 158 193 320 335
33 98 127 157 196 319 334
27 74 142 156 202 223 224
23 71 138 160 196 203 277
43 75 133 161 197 204 252
28 96 127 153 180 293 323
29 90 142 152 183 301 327
39 90 133 165 179 237 331
51 92 131 157 179 225 333
22 93 140 155 173 209 298
35 95 141 162 180 207 264
38 92 136 164 178 222 285
44 85 130 158 185 242 290
50 88 132 158 181 210 270
53 76 140 156 178 239 300
30 69 139 157 174 205 317
27 75 128 154 169 336 337
33 82 136 155 168 255 338
33 80 132 159 169 251 296
50 76 135 163 171 250 276
34 72 142 160 168 217 306
34 80 131 162 167 182 320
54 100 139 159 164 173 326
21 72 134 154 164 171 280
25 74 137 146 187 234 264
27 73 131 149 188 221 293
47 100 141 148 199 227 278
52 93 129 147 201 235 280
38 99 135 148 184 315 325
41 76 129 149 176 258 329
48 69 141 151 175 255 336
22 96 138 148 176 275 297
20 90 137 147 169 256 339
22 83 130 146 167 170 289
42 69 140 150 160 193 229
49 77 127 151 161 198 219
23 78 128 144 190 272 287
31 75 139 145 194 249 299
35 79 135 143 189 260 288
21 77 138 145 200 223 339
42 81 132 144 197 224 341
31 98 137 143 181 285 342
48 84 129 145 152 177 308
44 82 121 198 321 329 342
47 70 123 189 284 323 333
27 66 113 193 235 309 325
34 67 120 194 213 253 334
45 73 115 190 227 289 338
54 67 116 192 215 275 337
25 84 124 197 228 273 297
29 69 125 192 240 266 267
29 99 126 194 247 257 289
30 93 124 199 223 251 263
31 73 123 192 219 262 292
32 92 119 192 234 258 291
32 98 113 190 212 268 271
34 96 125 187 214 279 300
36 82 114 197 247 268 292
40 77 115 193 228 261 285
44 74 116 191 233 259 302
52 70 119 188 230 273 277
53 72 122 190 225 259 299
20 88 118 188 239 254 268
24 87 117 196 215 236 315
27 100 125 196 210 237 314
35 94 117 194 216 222 310
22 97 119 177 330 334 335
38 83 114 183 295 332 337
36 69 120 181 280 315 323
49 80 126 178 278 313 324
21 88 121 182 257 262 295
29 87 113 176 252 260 281
41 81 115 180 253 295 302
48 91 122 186 277 288 296
51 94 113 186 256 294 295
22 78 121 175 244 249 312
26 78 114 174 246 279 311
26 80 115 185 209 252 310
31 76 124 183 236 255 309
31 97 118 180 217 287 314
36 76 116 182 211 277 305
26 99 116 168 293 335 339
48 66 117 170 262 303 341
22 90 123 171 271 302 317
40 85 120 169 260 298 308
40 91 114 153 202 266 326
54 70 121 152 193 264 324
40 86 123 162 196 220 329
46 94 123 158 187 243 336
26 95 120 156 198 241 271
41 66 126 157 200 226 298
45 84 116 157 195 214 254
46 83 120 163 191 248 263
47 97 117 154 198 211 270
53 79 121 165 201 213 293
49 67 124 158 190 206 304
37 99 118 159 175 261 291
51 85 125 161 171 338 340
36 89 115 165 166 187 319
30 94 118 152 167 172 259
52 96 117 159 163 190 327
50 95 126 160 165 177 337
53 66 119 161 162 181 332
37 86 113 155 165 174 273
39 99 124 154 162 186 274
37 83 125 147 189 313 322
26 88 122 146 199 267 331
49 87 118 150 201 279 333
54 97 122 147 197 250 283
28 85 122 150 183 265 312
45 70 114 151 176 251 314
24 78 126 143 188 263 340
44 87 119 144 153 199 307
33 94 109 202 275 280 331
45 75 111 201 276 303 330
33 83 111 193 258 274 287
28 66 109 191 245 272 306
30 81 111 198 237 281 306
37 76 112 185 264 334 341
50 87 109 173 253 292 339
40 97 108 179 257 300 304
45 90 110 178 270 288 307
52 82 112 167 195 210 260
23 74 110 155 194 332 333
32 68 112 154 191 279 328
26 66 108 164 189 286 297
36 68 110 159 200 265 281
20 89 112 161 202 244 316
45 94 108 160 184 328 342
51 67 111 153 166 175 282
20 81 108 155 163 192 278
40 72 110 148 188 294 341
38 97 109 149 166 195 269
42 100 106 254 304 321 332
52 77 107 290 317 318 337
34 93 106 208 261 270 286
47 89 107 233 276 291 298
35 71 107 212 238 283 311
43 79 106 218 230 275 309
36 92 106 152 272 290 322
46 80 107 153 254 299 325
39 87 106 156 232 249 338
48 86 107 156 247 287 328
21 98 106 149 233 266 310
24 81 107 146 208 301 305
25 71 106 151 163 294 335
43 73 107 150 164 256 334
31 63 134 298 307 320 322
50 61 131 265 287 297 321
30 64 137 213 277 325 338
37 64 142 222 292 304 318
52 61 141 232 257 306 319
22 64 132 225 236 266 328
24 65 129 217 240 271 332
29 63 128 220 241 250 254
46 65 140 227 230 269 281
47 64 133 214 221 272 295
51 65 138 245 247 264 270
53 61 130 215 246 256 261
54 64 127 208 239 260 303
33 65 135 204 262 279 290
49 61 139 203 233 331 341
28 63 136 206 211 294 317
43 62 117 267 282 302 324
20 65 124 226 310 323 330
25 62 118 209 288 329 337
34 62 113 219 276 312 326
40 65 116 238 249 313 327
39 63 114 235 259 278 334
41 61 125 216 268 296 335
48 63 115 210 263 275 333
21 62 119 237 248 255 311
32 63 121 224 243 286 315
38 61 123 223 229 252 305
44 64 126 212 228 280 314
45 61 120 234 244 283 309
27 65 122 205 253 291 342
23 62 112 251 285 293 301
26 64 110 218 258 316 336
35 63 111 242 273 300 339
36 62 108 231 274 299 340
42 62 109 207 284 289 308
