0 1 2 3
95 317 323 354
96 316 321 355
107 184 254 340
106 185 255 341
108 182 255 343
105 183 254 342
102 188 219 336
103 186 219 337
104 189 218 338
101 187 218 339
113 180 232 287
114 178 235 284
115 179 233 286
116 181 234 285
87 174 205 294
86 177 204 292
88 175 207 295
85 176 206 293
114 169 272 299
115 167 274 298
116 168 273 297
113 166 275 296
95 170 201 239
94 173 200 236
96 171 203 238
93 172 202 237
91 165 308 350
90 164 310 349
92 163 311 348
89 162 309 351
83 154 207 251
82 157 206 248
84 156 204 249
81 155 205 250
109 160 217 292
110 159 216 294
111 161 216 295
112 158 217 293
99 154 283 346
98 155 280 347
100 157 281 345
97 156 282 344
96 161 228 347
94 160 230 345
95 159 229 346
93 158 231 344
110 150 270 291
111 151 269 290
112 153 271 288
109 152 268 289
104 150 203 227
103 152 202 224
102 153 200 225
101 151 201 226
92 148 319 328
90 149 318 329
91 149 317 331
89 148 316 330
116 140 197 331
115 143 196 328
114 141 199 330
113 142 198 329
112 144 199 335
111 147 198 332
110 146 196 333
109 145 197 334
100 140 215 252
98 142 213 252
99 143 212 253
97 141 214 253
88 144 315 326
86 146 314 325
87 145 313 327
85 147 312 324
84 138 256 267
82 139 257 264
83 137 258 266
81 136 259 265
108 139 236 279
106 136 238 278
107 137 239 276
105 138 237 277
77 271 304 351
78 270 306 348
79 268 305 350
80 269 307 349
79 193 220 311
78 192 223 308
80 194 222 309
77 195 221 310
73 323 327 332
74 321 326 333
75 322 324 334
76 320 325 335
75 195 240 263
74 194 242 260
76 193 241 262
73 192 243 261
80 126 185 189
78 127 184 187
79 128 182 188
77 129 183 186
76 125 174 181
74 124 176 180
75 125 175 178
73 124 177 179
